name,in_usd,created_at,updated_at
NPR,103.6489,10/20/15 10:07,10/20/15 10:07
NZD,1.469197,10/20/15 10:07,10/20/15 10:07
OMR,0.384996,10/20/15 10:07,10/20/15 10:07
PAB,1,10/20/15 10:07,10/20/15 10:07
PEN,3.239959,10/20/15 10:07,10/20/15 10:07
PGK,2.895975,10/20/15 10:07,10/20/15 10:07
PHP,46.31047,10/20/15 10:07,10/20/15 10:07
PKR,104.370799,10/20/15 10:07,10/20/15 10:07
PLN,3.743251,10/20/15 10:07,10/20/15 10:07
PYG,5660.974954,10/20/15 10:07,10/20/15 10:07
QAR,3.640219,10/20/15 10:07,10/20/15 10:07
RON,3.896444,10/20/15 10:07,10/20/15 10:07
RSD,105.511,10/20/15 10:07,10/20/15 10:07
RUB,62.09923,10/20/15 10:07,10/20/15 10:07
RWF,727.424167,10/20/15 10:07,10/20/15 10:07
SAR,3.750195,10/20/15 10:07,10/20/15 10:07
SBD,7.915946,10/20/15 10:07,10/20/15 10:07
SCR,13.081725,10/20/15 10:07,10/20/15 10:07
SDG,6.07825,10/20/15 10:07,10/20/15 10:07
SEK,8.291377,10/20/15 10:07,10/20/15 10:07
SGD,1.389189,10/20/15 10:07,10/20/15 10:07
SHP,0.646102,10/20/15 10:07,10/20/15 10:07
SLL,3744.6255,10/20/15 10:07,10/20/15 10:07
SOS,640.553744,10/20/15 10:07,10/20/15 10:07
SRD,3.2875,10/20/15 10:07,10/20/15 10:07
STD,21555.975,10/20/15 10:07,10/20/15 10:07
SVC,8.741621,10/20/15 10:07,10/20/15 10:07
SYP,188.787998,10/20/15 10:07,10/20/15 10:07
SZL,13.21361,10/20/15 10:07,10/20/15 10:07
THB,35.42645,10/20/15 10:07,10/20/15 10:07
TJS,6.56,10/20/15 10:07,10/20/15 10:07
TMT,3.501267,10/20/15 10:07,10/20/15 10:07
TND,1.952028,10/20/15 10:07,10/20/15 10:07
TOP,2.228033,10/20/15 10:07,10/20/15 10:07
TRY,2.893992,10/20/15 10:07,10/20/15 10:07
TTD,6.328677,10/20/15 10:07,10/20/15 10:07
TWD,32.3791,10/20/15 10:07,10/20/15 10:07
TZS,2206.851634,10/20/15 10:07,10/20/15 10:07
UAH,21.95819,10/20/15 10:07,10/20/15 10:07
UGX,3613.43,10/20/15 10:07,10/20/15 10:07
USD,1,10/20/15 10:07,10/20/15 10:07
UYU,29.3781,10/20/15 10:07,10/20/15 10:07
UZS,2654.224976,10/20/15 10:07,10/20/15 10:07
VEF,6.320756,10/20/15 10:07,10/20/15 10:07
VND,22307.68333,10/20/15 10:07,10/20/15 10:07
VUV,111.271251,10/20/15 10:07,10/20/15 10:07
WST,2.546946,10/20/15 10:07,10/20/15 10:07
XAF,578.180344,10/20/15 10:07,10/20/15 10:07
XAG,0.0631125,10/20/15 10:07,10/20/15 10:07
XAU,0.00085,10/20/15 10:07,10/20/15 10:07
XCD,2.70102,10/20/15 10:07,10/20/15 10:07
XDR,0.707178,10/20/15 10:07,10/20/15 10:07
XOF,578.676844,10/20/15 10:07,10/20/15 10:07
XPD,0.001454,10/20/15 10:07,10/20/15 10:07
XPF,105.012663,10/20/15 10:07,10/20/15 10:07
XPT,0.000987,10/20/15 10:07,10/20/15 10:07
YER,215.1637,10/20/15 10:07,10/20/15 10:07
ZAR,13.23528,10/20/15 10:07,10/20/15 10:07
ZMK,5252.024745,10/20/15 10:07,10/20/15 10:07
ZMW,11.999275,10/20/15 10:07,10/20/15 10:07
ZWL,322.387247,10/20/15 10:07,10/20/15 10:07
